unit,year,country,variable,value
g,2017,BE,gdiincj992,0.273094566050706
g,2018,BE,gdiincj992,0.282497749426634
g,2019,BE,gdiincj992,0.285843090710012
g,2020,BE,gdiincj992,0.259677001692831
g,2021,BE,gdiincj992,0.238695182201199
g,2022,BE,gdiincj992,0.237979300478066
g,1981,BF,gdiincj992,0.661885369629566
g,1982,BF,gdiincj992,0.662430023495133
g,1983,BF,gdiincj992,0.66275017184865
g,1984,BF,gdiincj992,0.663143910690913
g,1985,BF,gdiincj992,0.66357788018437
g,1986,BF,gdiincj992,0.660448349249059
g,1987,BF,gdiincj992,0.657179350892505
g,1988,BF,gdiincj992,0.659619099345704
g,1989,BF,gdiincj992,0.66213170005534
g,1990,BF,gdiincj992,0.663877758166365
g,1991,BF,gdiincj992,0.662525755320381
g,1992,BF,gdiincj992,0.66287230523114
g,1993,BF,gdiincj992,0.661827941723473
g,1994,BF,gdiincj992,0.661249099465799
g,1995,BF,gdiincj992,0.665495853755729
g,1996,BF,gdiincj992,0.670192657448297
g,1997,BF,gdiincj992,0.675765690638976
g,1998,BF,gdiincj992,0.681870794281878
g,1999,BF,gdiincj992,0.666322984861125
g,2000,BF,gdiincj992,0.652787372604671
g,2001,BF,gdiincj992,0.639592926791941
g,2002,BF,gdiincj992,0.624573086757792
g,2003,BF,gdiincj992,0.610486648806017
g,2004,BF,gdiincj992,0.602777268840935
g,2005,BF,gdiincj992,0.601768139978685
g,2006,BF,gdiincj992,0.597009697188732
g,2007,BF,gdiincj992,0.593034821919005
g,2008,BF,gdiincj992,0.590806341969277
g,2009,BF,gdiincj992,0.585757155968896
g,2010,BF,gdiincj992,0.581916547186992
g,2011,BF,gdiincj992,0.573501986643745
g,2012,BF,gdiincj992,0.567673156063394
g,2013,BF,gdiincj992,0.557720539541922
g,2014,BF,gdiincj992,0.55275169697709
g,2015,BF,gdiincj992,0.575201857218978
g,2016,BF,gdiincj992,0.588304833695398
g,2017,BF,gdiincj992,0.608123247003165
g,2018,BF,gdiincj992,0.626626619065902
g,2019,BF,gdiincj992,0.622905549436098
g,2020,BF,gdiincj992,0.620942837852706
g,2021,BF,gdiincj992,0.620936000628316
g,2022,BF,gdiincj992,0.620936071714421
g,1981,BG,gdiincj992,0.294988430029086
g,1982,BG,gdiincj992,0.318691490167664
g,1983,BG,gdiincj992,0.309153631288328
g,1984,BG,gdiincj992,0.308562933218776
g,1985,BG,gdiincj992,0.297451776231162
g,1986,BG,gdiincj992,0.286882448072383
g,1987,BG,gdiincj992,0.265153486569824
g,1988,BG,gdiincj992,0.263642023229731
g,1989,BG,gdiincj992,0.294326395665001
g,1990,BG,gdiincj992,0.321827119675803
g,1991,BG,gdiincj992,0.355077349904199
g,1992,BG,gdiincj992,0.390846336753574
g,1993,BG,gdiincj992,0.404857170882309
g,1994,BG,gdiincj992,0.448663868117343
g,1995,BG,gdiincj992,0.475361099647625
g,1996,BG,gdiincj992,0.457615260385872
g,1997,BG,gdiincj992,0.444613376520968
g,1998,BG,gdiincj992,0.432050665126443
g,1999,BG,gdiincj992,0.409806332654517
g,2000,BG,gdiincj992,0.410170601761374
g,2001,BG,gdiincj992,0.42582742812785
g,2002,BG,gdiincj992,0.439669642466924
g,2003,BG,gdiincj992,0.418682497413208
g,2004,BG,gdiincj992,0.417008421257551
g,2005,BG,gdiincj992,0.424541696054156
g,2006,BG,gdiincj992,0.437428053606553
g,2007,BG,gdiincj992,0.420405588033106
g,2008,BG,gdiincj992,0.413626280192732
g,2009,BG,gdiincj992,0.420646767800434
g,2010,BG,gdiincj992,0.42142791295332
g,2011,BG,gdiincj992,0.42380299976243
g,2012,BG,gdiincj992,0.443648822499213
